Date,Time,End date,Artist,Artist URL,Venue,Address,City,State,Postal code,Country,Venue phone,Venue URL,Admittance,Price,Ticket URL,Ticket phone,External URL,Notes,Tour,Status,Related ID,Related URL
2013-08-02,12:00:00,,Hey Marseilles,http://heymarseilles2.com,Lollapalooza,,Chicago,Il,,US,,,Not sure,,http://www.lollapalooza.com/tickets/,,https://www.facebook.com/events/152945364874348/,"w/ The Cure, The Killers, Mumford and Sons, &amp; many more!",,soldout,0,
2013-07-31,11:00:00,,Hey Marseilles,http://heymarseilles2.com,Edgefest '13,,Toronto,ON,,CA,,,Not sure,,http://www.ticketmaster.ca/event/10004A82B691777D?artistid=836471&amp;majorcatid=10001&amp;minorcatid=60,,https://www.facebook.com/events/458364317576887/,"w/ The Lumineers, Band Of Horses, &amp; many more!",,active,0,
2013-07-28,13:00:00,,Hey Marseilles,http://heymarseilles2.com,The Capitol Hill Block Party,,Seattle,WA,,US,,,Not sure,,http://capitolhillblockparty.strangertickets.com/,,https://www.facebook.com/events/446024375477417/,"w/ The Flaming Lips, Frightened Rabbit, &amp; many more!",,active,0,
2013-07-26,12:00:00,,Hey Marseilles,http://heymarseilles2.com,Newport Folk Festival,,Newport,RI,,US,,,Not sure,,http://www.newportfolkfest.net/tickets,,https://www.facebook.com/events/463947520336965/,"w/ The Lumineers, Andrew Bird, Father John Misty, &amp; more!",,active,0,
2013-07-21,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Belly Up Tavern,,Solana Beach,CA,,US,,,Not sure,,http://www.bellyup.com/event/rogue-wave/,,https://www.facebook.com/events/510875922281182/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
2013-07-20,20:00:00,,Hey Marseilles,http://heymarseilles2.com,The El Rey Theatre,,Los Angeles,CA,,US,,,Not sure,,http://www.ticketmaster.com/event/2C004A88CDE45CA0?cfc=AEGLIVE_WEREYADK050110WBP001&amp;brand=goldenvoice,,https://www.facebook.com/events/512837055442648/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
2013-07-18,19:30:00,,Hey Marseilles,http://heymarseilles2.com,The Wonder Ballroom,,Portland,OR,,US,,,Not sure,,http://www.ticketfly.com/purchase/event/256623?__utma=1.1291828715.1366212633.1366212633.1366212633.1&amp;__utmb=1.2.10.1366212633&amp;__utmc=1&amp;__utmx=-&amp;__utmz=1.1366212633.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=wonder%20ballroom,,https://www.facebook.com/events/637557606269915/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
2013-07-16,20:00:00,,Hey Marseilles,http://heymarseilles2.com,The Biltmore Cabaret,,Vancouver,BC,,CA,,,Not sure,,http://www.ticketweb.ca/t3/sale/SaleEventDetail?dispatch=loadSelectionData&amp;eventId=3539444,,https://www.facebook.com/events/514475721942763/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
2013-07-13,20:30:00,,Hey Marseilles,http://heymarseilles2.com,The Independent,,San Francisco,CA,,US,,,Not sure,,http://www.ticketfly.com/purchase/event/257243?__utma=1.461391750.1366211684.1366211684.1366211684.1&amp;__utmb=1.1.10.1366211684&amp;__utmc=1&amp;__utmx=-&amp;__utmz=1.1366211684.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=the%20independent&,,https://www.facebook.com/events/173099342846047/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
2013-07-12,20:30:00,,Hey Marseilles,http://heymarseilles2.com,The Independent,,San Francisco,CA,,US,,,Not sure,,http://www.ticketfly.com/purchase/event/257237?__utma=1.461391750.1366211684.1366211684.1366211684.1&amp;__utmb=1.1.10.1366211684&amp;__utmc=1&amp;__utmx=-&amp;__utmz=1.1366211684.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=the%20independent&,,https://www.facebook.com/events/180966528721435/,"supporting Rogue Wave. Tickets On-Sale Fri, 4/19 at 10am Local Time.",,active,0,
