Date,Time,End date,Artist,Artist URL,Venue,Address,City,State,Postal code,Country,Venue phone,Venue URL,Admittance,Price,Ticket URL,Ticket phone,External URL,Notes,Tour,Status,Related ID,Related URL,LAT,LNG
10/23/2013,21:30:00,,Hey Marseilles,http://heymarseilles2.com,Lamberts,,Austin,TX,,US,,,Not sure,,http://bit.ly/15VaIug,,,w/ You Me and Apollo.,,active,0,,"30.265202,-97.747897","30.265202,-97.747897"
10/22/2013,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Club Dada,,Dallas,TX,,US,,,Not sure,,http://spunetickets.com/promo/id/22815447474704595,,,w/ You Me and Apollo.,,active,0,,"32.784569,-96.783932","32.784569,-96.783932"
10/20/2013,18:00:00,,Hey Marseilles,http://heymarseilles2.com,3rd & Lindsley,,Nashville,TN,,US,,,Not sure,,http://tktwb.tw/15Vau6o,,,w/ LUCIUS. Presented by Lightning 100 &amp; Yuengling.,,active,0,,"36.15217,-86.769873","36.15217,-86.769873"
10/19/2013,21:30:00,,Hey Marseilles,http://heymarseilles2.com,The Earl,,Atlanta,GA,,US,,,Not sure,,http://www.ticketalternative.com/Events/24684.aspx,,,w/ LUCIUS.,,active,0,,"33.740936,-84.346057","33.740936,-84.346057"
10/18/2013,20:00:00,,Hey Marseilles,http://heymarseilles2.com,The Grey Eagle,,Asheville,NC,,US,,,All Ages,,http://thegreyeagle.com/events/hey-marseilles-apache-relay/,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"35.587317,-82.564298","35.587317,-82.564298"
10/17/2013,19:00:00,,Hey Marseilles,http://heymarseilles2.com,Casbah,,Durham,NC,,US,,,Not sure,,http://www.ticketfly.com/purchase/event/333913?utm_medium=bks,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"36.000681,-78.91085","36.000681,-78.91085"
10/16/2013,19:00:00,,Hey Marseilles,http://heymarseilles2.com,The Southern,,Charlottesville,VA,,US,,,Not sure,,http://thesoutherncville.tickets.musictoday.com/TheSouthern/moreInfo.aspx?event=157603&amp;outlet=2213,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"38.030515,-78.48174","38.030515,-78.48174"
10/15/2013,19:00:00,,Hey Marseilles,http://heymarseilles2.com,Sixth & I Synagogue,,Washington,DC,,US,,,Not sure,,http://www.ticketfly.com/purchase/event/332735?utm_medium=bks,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"38.900635,-77.020215","38.900635,-77.020215"
10/13/2013,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Music Hall Of Williamsburg,,Brooklyn,NY,,US,,,Not sure,,http://www.ticketmaster.com/hey-marseilles-brooklyn-new-york-10-13-2013/event/00004AF3F119604E?artistid=1304830&amp;majorcatid=10001&amp;minorcatid=1,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"40.719502,-73.961617","40.719502,-73.961617"
10/12/2013,19:00:00,,Hey Marseilles,http://heymarseilles2.com,Brighton Music Hall,,Boston,MA,,US,,,Not sure,,http://www.ticketmaster.com/event/01004AF8AE5C97E6,,,w/ The Apache Relay. Tickets on sale July 26th at 10am.,,active,0,,"42.352931,-71.132508","42.352931,-71.132508"
