Date,Time,End date,Artist,Artist URL,Venue,Address,City,State,Postal code,Country,Venue phone,Venue URL,Admittance,Price,Ticket URL,Ticket phone,External URL,Notes,Tour,Status,Related ID,Related URL
2013-04-19,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Whitworth University,,Spokane,WA,,US,,,Not sure,,http://www.whitworth.edu/,,http://www.facebook.com/events/383614885066628/,,,active,0,
2013-04-13,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Visual Arts Collective,,Garden City,ID,,US,,,Not sure,$10,http://heymarseilles-april13.bpt.me/,,http://www.facebook.com/events/361881430573876/,,,active,0,
2013-04-11,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Kilby Court,,Salt Lake City,UT,,US,,,Not sure,$10,http://www.24tix.com/event.html?show_id=T31762877553176287755320,,http://www.facebook.com/events/449650548429231/,,,active,0,
2013-04-09,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Hi-Dive,,Denver,CO,,US,,,Not sure,$10,http://www.ticketfly.com/event/196199,,http://www.facebook.com/events/388575697890376/,,,active,0,
2013-04-07,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Middle of the Map Fest After Party,,Kansas City,MO,,US,,,Not sure,,http://holdmyticket.com/event/131945,,https://www.facebook.com/events/132944193549858/,After Party at Record bar,,active,0,
2013-04-06,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Off Broadway,,Saint Louis,MO,,US,,,Not sure,$10,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&amp;eventId=3247624&amp;pl=offbroadway,,http://www.facebook.com/events/180582298752654/,,,active,0,
2013-04-05,20:00:00,,Hey Marseilles,http://heymarseilles2.com,The Maintenance Shop,,Ames,IA,,US,,,Not sure,,http://www.sub.iastate.edu/en/the_maintenance_shop/,,http://www.facebook.com/events/477856758920273/,,,active,0,
2013-04-04,20:00:00,,Hey Marseilles,http://heymarseilles2.com,7th Street Entry,,Minneapolis,MN,,US,,,Not sure,$10,https://www.etix.com/ticket/online/performanceSearch.jsp?performance_id=1680992&amp;cobrand=first-avenue,,http://www.facebook.com/events/142645035885662/,,,active,0,
2013-04-03,18:45:00,,Hey Marseilles,http://heymarseilles2.com,SPACE,,Evanston,IL,,US,,,Not sure,$10 - $18,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&amp;eventId=3261004&amp;pl=space,,http://www.facebook.com/events/312392898869266/,,,active,0,
2013-03-30,22:00:00,,Hey Marseilles,http://heymarseilles2.com,Iron Horse Music Hall,,North Hampton,MA,,US,,,Not sure,,http://www.nbotickets.com/default.asp?mode=artist&amp;name=6936,,http://www.facebook.com/events/550243538336628/,,,active,0,
2013-03-29,20:00:00,,Hey Marseilles,http://heymarseilles2.com,Brighton Music Hall,,Boston,MA,,US,,,Not sure,$12,http://www.ticketmaster.com/event/01004983DA6BBDDB,,http://www.facebook.com/events/101052150067027/,,,active,0,
